Account Name;Invoice Number;Invoice Date;Item Description;Category;Quantity;Sales
CPH;1232640;11 Jan 20;Spire Clare Park 2020 Calendar EA=1;Paper, Envelopes & Labels;500;845
CPH;1232713;21 Feb 20;TOILET BRUSH ROBERT SCOTT STANDARD SET;Cleaning, Hygiene & Workwear;30;24.6
CPH;1232636;6 Mar 20;BX1600 LBLS 99.1X33.9 100 SHTS OD;Paper, Envelopes & Labels;20;82.6
CPH;1232300;11 Mar 20;PK1X100 FACIAL TISSUE WHITE SCOTT 2P;Cleaning, Hygiene & Workwear;20;15
CPH;1239435;14 Mar 20;PACK 10 SPIRE FACIAL TISSUES-CI;Cleaning, Hygiene & Workwear;20;2.8
CPH;1239893;31 Jan 20;BX1600 LBLS 99.1X33.9 100 SHTS OD;Paper, Envelopes & Labels;15;61.95
CPH;1238356;14 Feb 20;PK 100 FACIAL TISSUE TORK 2-PLY PREMIUM;Cleaning, Hygiene & Workwear;15;14.1
CPH;1233885;4 Feb 20;General Information Folder PK=35;Other;12;159.24
CPH;1236240;10 Jan 20;General Information Folder PK=35;Other;12;159.24
CPH;1237810;29 Feb 20;General Information Folder PK=35;Other;12;159.24
CPH;1231045;18 Feb 20;PK50 CD MAILERS 229X162 VIKNG 90GSM GUMD;GOS & Mailing;12;27.24
CPH;1232352;14 Feb 20;RM COPY PAPER A4 ND 80GS;Paper, Envelopes & Labels;10;105.6
CPH;1232597;8 Jan 20;RM COPY PAPER A4 ND 80GS;Paper, Envelopes & Labels;10;105.6
CPH;1233592;25 Feb 20;RM COPY PAPER A4 ND 80GS;Paper, Envelopes & Labels;10;105.6
CPH;1238257;13 Mar 20;RM COPY PAPER A4 ND 80GS;Paper, Envelopes & Labels;10;105.6
CPH;1238933;5 Mar 20;RM COPY PAPER A4 ND 80GS;Paper, Envelopes & Labels;10;105.6
CPH;1238985;24 Jan 20;RM COPY PAPER A4 ND 80GS;Paper, Envelopes & Labels;10;105.6
CPH;1239892;31 Jan 20;RM COPY PAPER A4 ND 80GS;Paper, Envelopes & Labels;10;105.6
CPH;1231142;19 Feb 20;BX1600 LBLS 99.1X33.9 100 SHTS OD;Paper, Envelopes & Labels;10;41.3
CPH;1238201;20 Mar 20;BX1600 LBLS 99.1X33.9 100 SHTS OD;Paper, Envelopes & Labels;10;41.3
CPH;1239184;20 Jan 20;BX1600 LBLS 99.1X33.9 100 SHTS OD;Paper, Envelopes & Labels;10;41.3
CPH;1239732;9 Jan 20;BX1600 LBLS 99.1X33.9 100 SHTS OD;Paper, Envelopes & Labels;10;41.3
CPH;1238799;10 Mar 20;THINGS TO DO TODAY PAD 114 PAGES OD;GOS & Mailing;10;32.9
CPH;1234813;13 Mar 20;Patient Agreement To Consent   EA=1;Other;10;28.7
CPH;1235892;12 Feb 20;Patient Agreement To Consent   EA=1;Other;10;28.7
CPH;1239583;30 Jan 20;Patient Agreement To Consent   EA=1;Other;10;28.7
CPH;1233753;6 May 20;PK1X100 FACIAL TISSUE WHITE SCOTT 2P;Cleaning, Hygiene & Workwear;10;7.5
CPH;1239733;9 Jan 20;PK1X100 FACIAL TISSUE WHITE SCOTT 2P;Cleaning, Hygiene & Workwear;10;7.5
CPH;1230694;16 Jun 20;PK18 HYGIENE ROLL 2PLY WE 40MX250MM-CI;Cleaning, Hygiene & Workwear;10;0.2
CPH;1230395;20 May 20;PK15 SCOTT ESSENTIAL FOLDED HT (5100)-CI;Cleaning, Hygiene & Workwear;8;144.48
CPH;1234813;13 Mar 20;PK15 SCOTT ESSENTIAL FOLDED HT (5100)-CI;Cleaning, Hygiene & Workwear;8;144.48
CPH;1235770;27 Feb 20;PK15 SCOTT ESSENTIAL FOLDED HT (5100)-CI;Cleaning, Hygiene & Workwear;8;144.48
CPH;1238628;7 Mar 20;PK15 SCOTT ESSENTIAL FOLDED HT (5100)-CI;Cleaning, Hygiene & Workwear;8;144.48
CPH;1237811;29 Feb 20;ALUMINIUM SNAP FRAME 210 X 297MM;Furniture & Presentation;8;34.56
CPH;1231998;6 Feb 20;MANAGEMENT LAF BLUE O/D A4 70MM;Filing & Solutions;8;8.64
CPH;1235893;12 Feb 20;Generic Pat Record Folder BUFF BOX=50;Other;6;230.52
CPH;1236050;17 Mar 20;Generic Pat Record Folder BUFF BOX=50;Other;6;230.52
CPH;1232876;16 Jan 20;LETTERHEADS CLARE PARK BOX=1000;Other;6;177.9
CPH;1231152;10 Jun 20;PK15 SCOTT ESSENTIAL FOLDED HT (5100)-CI;Cleaning, Hygiene & Workwear;6;108.36
